Periodo;PaisResidencia;MotivoViaje;Viajeros
1/06/2023;Suiza;Negocio motivos profesionales;11114
1/06/2023;Alemania;Ocio recreo y vacaciones;1012046
1/06/2023;Belgica;Ocio recreo y vacaciones;177212
1/06/2023;Estados Unidos de America;Ocio recreo y vacaciones;456245
1/06/2023;Francia;Ocio recreo y vacaciones;795900
1/06/2023;Irlanda;Ocio recreo y vacaciones;248767
1/06/2023;Italia;Ocio recreo y vacaciones;375148
1/06/2023;Paises Bajos;Ocio recreo y vacaciones;340033
1/06/2023;Paises Nordicos;Ocio recreo y vacaciones;345384
1/06/2023;Portugal;Ocio recreo y vacaciones;213805
1/06/2023;Reino Unido;Ocio recreo y vacaciones;1722995
1/06/2023;Resto America;Ocio recreo y vacaciones;392790
1/06/2023;Resto de Europa;Ocio recreo y vacaciones;625997
1/06/2023;Resto del Mundo;Ocio recreo y vacaciones;407374
1/06/2023;Rusia;Ocio recreo y vacaciones;0
1/06/2023;Suiza;Ocio recreo y vacaciones;159661
1/06/2023;Alemania;Otros motivos;73438
1/06/2023;Belgica;Otros motivos;12859
1/06/2023;Estados Unidos de America;Otros motivos;33107
1/06/2023;Francia;Otros motivos;57754
1/06/2023;Irlanda;Otros motivos;18052
1/06/2023;Italia;Otros motivos;27222
1/06/2023;Paises Bajos;Otros motivos;24674
1/06/2023;Paises Nordicos;Otros motivos;25063
1/06/2023;Portugal;Otros motivos;15515
1/06/2023;Reino Unido;Otros motivos;125028
1/06/2023;Resto America;Otros motivos;28503
1/06/2023;Resto de Europa;Otros motivos;45425
1/06/2023;Resto del Mundo;Otros motivos;29561
1/06/2023;Rusia;Otros motivos;0
1/06/2023;Suiza;Otros motivos;11586
1/07/2023;Alemania;Negocio motivos profesionales;39424
1/07/2023;Belgica;Negocio motivos profesionales;15333
1/07/2023;Estados Unidos de America;Negocio motivos profesionales;14774
1/07/2023;Francia;Negocio motivos profesionales;52482
1/07/2023;Irlanda;Negocio motivos profesionales;10071
1/07/2023;Italia;Negocio motivos profesionales;18258
1/07/2023;Paises Bajos;Negocio motivos profesionales;20134
1/07/2023;Paises Nordicos;Negocio motivos profesionales;19636
1/07/2023;Portugal;Negocio motivos profesionales;11818
1/07/2023;Reino Unido;Negocio motivos profesionales;67125
1/07/2023;Resto America;Negocio motivos profesionales;16506
1/07/2023;Resto de Europa;Negocio motivos profesionales;28391
1/07/2023;Resto del Mundo;Negocio motivos profesionales;17370
1/07/2023;Rusia;Negocio motivos profesionales;0
1/07/2023;Suiza;Negocio motivos profesionales;8564
1/07/2023;Alemania;Ocio recreo y vacaciones;1070148
1/07/2023;Belgica;Ocio recreo y vacaciones;416222
1/07/2023;Estados Unidos de America;Ocio recreo y vacaciones;401041
1/07/2023;Francia;Ocio recreo y vacaciones;1424604
1/07/2023;Irlanda;Ocio recreo y vacaciones;273366
1/07/2023;Italia;Ocio recreo y vacaciones;495623
1/07/2023;Paises Bajos;Ocio recreo y vacaciones;546545
1/07/2023;Paises Nordicos;Ocio recreo y vacaciones;533020
1/07/2023;Portugal;Ocio recreo y vacaciones;320793
1/07/2023;Reino Unido;Ocio recreo y vacaciones;1822091
1/07/2023;Resto America;Ocio recreo y vacaciones;448064
1/07/2023;Resto de Europa;Ocio recreo y vacaciones;770660
1/07/2023;Resto del Mundo;Ocio recreo y vacaciones;471497
1/07/2023;Rusia;Ocio recreo y vacaciones;0
1/07/2023;Suiza;Ocio recreo y vacaciones;232456
1/07/2023;Alemania;Otros motivos;63900
1/07/2023;Belgica;Otros motivos;24853
1/07/2023;Estados Unidos de America;Otros motivos;23947
1/07/2023;Francia;Otros motivos;85064
1/07/2023;Irlanda;Otros motivos;16323
1/07/2023;Italia;Otros motivos;29594
1/07/2023;Paises Bajos;Otros motivos;32635
1/07/2023;Paises Nordicos;Otros motivos;31827
1/07/2023;Portugal;Otros motivos;19155
1/07/2023;Reino Unido;Otros motivos;108799
1/07/2023;Resto America;Otros motivos;26754
1/07/2023;Resto de Europa;Otros motivos;46017
1/07/2023;Resto del Mundo;Otros motivos;28154
1/07/2023;Rusia;Otros motivos;0
1/07/2023;Suiza;Otros motivos;13880
1/08/2023;Alemania;Negocio motivos profesionales;17840
1/08/2023;Belgica;Negocio motivos profesionales;5006
1/08/2023;Estados Unidos de America;Negocio motivos profesionales;4415
1/08/2023;Francia;Negocio motivos profesionales;29807
1/08/2023;Irlanda;Negocio motivos profesionales;4265
1/08/2023;Italia;Negocio motivos profesionales;11203
1/08/2023;Paises Bajos;Negocio motivos profesionales;8379
1/08/2023;Paises Nordicos;Negocio motivos profesionales;4989
1/08/2023;Portugal;Negocio motivos profesionales;6955
1/08/2023;Reino Unido;Negocio motivos profesionales;30747
1/08/2023;Resto America;Negocio motivos profesionales;6406
1/08/2023;Resto de Europa;Negocio motivos profesionales;12613
1/08/2023;Resto del Mundo;Negocio motivos profesionales;7948
1/08/2023;Rusia;Negocio motivos profesionales;0
1/08/2023;Suiza;Negocio motivos profesionales;3178
1/08/2023;Alemania;Ocio recreo y vacaciones;1089889
1/08/2023;Belgica;Ocio recreo y vacaciones;305844
1/08/2023;Estados Unidos de America;Ocio recreo y vacaciones;269751
1/08/2023;Francia;Ocio recreo y vacaciones;1820960
1/08/2023;Irlanda;Ocio recreo y vacaciones;260527
1/08/2023;Italia;Ocio recreo y vacaciones;684392
1/08/2023;Paises Bajos;Ocio recreo y vacaciones;511897
1/08/2023;Paises Nordicos;Ocio recreo y vacaciones;304805
1/08/2023;Portugal;Ocio recreo y vacaciones;424883
1/08/2023;Reino Unido;Ocio recreo y vacaciones;1878376
1/08/2023;Resto America;Ocio recreo y vacaciones;391345
1/08/2023;Resto de Europa;Ocio recreo y vacaciones;770563
1/08/2023;Resto del Mundo;Ocio recreo y vacaciones;485572
1/08/2023;Rusia;Ocio recreo y vacaciones;0
1/08/2023;Suiza;Ocio recreo y vacaciones;194152
1/08/2023;Alemania;Otros motivos;74198
1/08/2023;Belgica;Otros motivos;20821
1/08/2023;Estados Unidos de America;Otros motivos;18364
1/08/2023;Francia;Otros motivos;123967
1/08/2023;Irlanda;Otros motivos;17736
1/08/2023;Italia;Otros motivos;46592
1/08/2023;Paises Bajos;Otros motivos;34849
1/08/2023;Paises Nordicos;Otros motivos;20751
1/08/2023;Portugal;Otros motivos;28925
1/08/2023;Reino Unido;Otros motivos;127876
1/08/2023;Resto America;Otros motivos;26642
1/08/2023;Resto de Europa;Otros motivos;52458
1/08/2023;Resto del Mundo;Otros motivos;33057
1/08/2023;Rusia;Otros motivos;0
1/08/2023;Suiza;Otros motivos;13217
1/09/2023;Alemania;Negocio motivos profesionales;73390
1/09/2023;Belgica;Negocio motivos profesionales;15896
1/09/2023;Estados Unidos de America;Negocio motivos profesionales;24761
1/09/2023;Francia;Negocio motivos profesionales;54339
1/09/2023;Irlanda;Negocio motivos profesionales;15102
1/09/2023;Italia;Negocio motivos profesionales;24426
1/09/2023;Paises Bajos;Negocio motivos profesionales;26804
1/09/2023;Paises Nordicos;Negocio motivos profesionales;22964
1/09/2023;Portugal;Negocio motivos profesionales;15967
1/09/2023;Reino Unido;Negocio motivos profesionales;110140
1/09/2023;Resto America;Negocio motivos profesionales;26426
1/09/2023;Resto de Europa;Negocio motivos profesionales;44866
1/09/2023;Resto del Mundo;Negocio motivos profesionales;31408
1/09/2023;Rusia;Negocio motivos profesionales;0
1/09/2023;Suiza;Negocio motivos profesionales;11949
1/09/2023;Alemania;Ocio recreo y vacaciones;1155881
1/09/2023;Belgica;Ocio recreo y vacaciones;250357
1/09/2023;Estados Unidos de America;Ocio recreo y vacaciones;389982
1/09/2023;Francia;Ocio recreo y vacaciones;855826
1/09/2023;Irlanda;Ocio recreo y vacaciones;237854
1/09/2023;Italia;Ocio recreo y vacaciones;384708
1/09/2023;Paises Bajos;Ocio recreo y vacaciones;422156
1/09/2023;Paises Nordicos;Ocio recreo y vacaciones;361675
1/09/2023;Portugal;Ocio recreo y vacaciones;251478
1/09/2023;Reino Unido;Ocio recreo y vacaciones;1734685
1/09/2023;Resto America;Ocio recreo y vacaciones;416204
1/09/2023;Resto de Europa;Ocio recreo y vacaciones;706628
1/09/2023;Resto del Mundo;Ocio recreo y vacaciones;494668
1/09/2023;Rusia;Ocio recreo y vacaciones;0
1/09/2023;Suiza;Ocio recreo y vacaciones;188193
1/09/2023;Alemania;Otros motivos;65771
1/09/2023;Belgica;Otros motivos;14246
1/09/2023;Estados Unidos de America;Otros motivos;22190
1/09/2023;Francia;Otros motivos;48697
1/09/2023;Irlanda;Otros motivos;13534
1/09/2023;Italia;Otros motivos;21890
1/09/2023;Paises Bajos;Otros motivos;24021
1/09/2023;Paises Nordicos;Otros motivos;20580
1/09/2023;Portugal;Otros motivos;14309
1/09/2023;Reino Unido;Otros motivos;98705
1/09/2023;Resto America;Otros motivos;23682
1/09/2023;Resto de Europa;Otros motivos;40208
1/09/2023;Resto del Mundo;Otros motivos;28147
1/09/2023;Rusia;Otros motivos;0
1/09/2023;Suiza;Otros motivos;10708
1/10/2023;Alemania;Negocio motivos profesionales;84959
1/10/2023;Belgica;Negocio motivos profesionales;17355
1/10/2023;Estados Unidos de America;Negocio motivos profesionales;29478
1/10/2023;Francia;Negocio motivos profesionales;73803
1/10/2023;Irlanda;Negocio motivos profesionales;18527
1/10/2023;Italia;Negocio motivos profesionales;29967
1/10/2023;Paises Bajos;Negocio motivos profesionales;31916
1/10/2023;Paises Nordicos;Negocio motivos profesionales;37439
1/10/2023;Portugal;Negocio motivos profesionales;12945
1/10/2023;Reino Unido;Negocio motivos profesionales;126788
1/10/2023;Resto America;Negocio motivos profesionales;36254
1/10/2023;Resto de Europa;Negocio motivos profesionales;52832
1/10/2023;Resto del Mundo;Negocio motivos profesionales;36854
1/10/2023;Rusia;Negocio motivos profesionales;0
1/10/2023;Suiza;Negocio motivos profesionales;17639
1/10/2023;Alemania;Ocio recreo y vacaciones;979853
1/10/2023;Belgica;Ocio recreo y vacaciones;200156
1/10/2023;Estados Unidos de America;Ocio recreo y vacaciones;339973
1/10/2023;Francia;Ocio recreo y vacaciones;851187
1/10/2023;Irlanda;Ocio recreo y vacaciones;213674
1/10/2023;Italia;Ocio recreo y vacaciones;345619
1/10/2023;Paises Bajos;Ocio recreo y vacaciones;368098
1/10/2023;Paises Nordicos;Ocio recreo y vacaciones;431796
1/10/2023;Portugal;Ocio recreo y vacaciones;149299
1/10/2023;Reino Unido;Ocio recreo y vacaciones;1462279
1/10/2023;Resto America;Ocio recreo y vacaciones;418123
1/10/2023;Resto de Europa;Ocio recreo y vacaciones;609319
1/10/2023;Resto del Mundo;Ocio recreo y vacaciones;425041
1/10/2023;Rusia;Ocio recreo y vacaciones;0
1/10/2023;Suiza;Ocio recreo y vacaciones;203435
1/10/2023;Alemania;Otros motivos;81551
1/10/2023;Belgica;Otros motivos;16659
1/10/2023;Estados Unidos de America;Otros motivos;28295
1/10/2023;Francia;Otros motivos;70842
1/10/2023;Irlanda;Otros motivos;17784
1/10/2023;Italia;Otros motivos;28765
1/10/2023;Paises Bajos;Otros motivos;30636
1/10/2023;Paises Nordicos;Otros motivos;35937
1/10/2023;Portugal;Otros motivos;12426
1/10/2023;Reino Unido;Otros motivos;121702
1/10/2023;Resto America;Otros motivos;34799
1/10/2023;Resto de Europa;Otros motivos;50712
1/10/2023;Resto del Mundo;Otros motivos;35375
1/10/2023;Rusia;Otros motivos;0
1/10/2023;Suiza;Otros motivos;16931
1/11/2023;Alemania;Negocio motivos profesionales;52852
1/11/2023;Belgica;Negocio motivos profesionales;15821
1/11/2023;Estados Unidos de America;Negocio motivos profesionales;20481
1/11/2023;Francia;Negocio motivos profesionales;54244
1/11/2023;Irlanda;Negocio motivos profesionales;12303
1/11/2023;Italia;Negocio motivos profesionales;25644
1/11/2023;Paises Bajos;Negocio motivos profesionales;19469
1/11/2023;Paises Nordicos;Negocio motivos profesionales;34350
1/11/2023;Portugal;Negocio motivos profesionales;12297
1/11/2023;Reino Unido;Negocio motivos profesionales;80490
1/11/2023;Resto America;Negocio motivos profesionales;26694
1/11/2023;Resto de Europa;Negocio motivos profesionales;45401
1/11/2023;Resto del Mundo;Negocio motivos profesionales;26380
1/11/2023;Rusia;Negocio motivos profesionales;0
1/11/2023;Suiza;Negocio motivos profesionales;8998
1/11/2023;Alemania;Ocio recreo y vacaciones;507600
1/11/2023;Belgica;Ocio recreo y vacaciones;151945
1/11/2023;Estados Unidos de America;Ocio recreo y vacaciones;196701
1/11/2023;Francia;Ocio recreo y vacaciones;520977
1/11/2023;Irlanda;Ocio recreo y vacaciones;118163
1/11/2023;Italia;Ocio recreo y vacaciones;246294
1/11/2023;Paises Bajos;Ocio recreo y vacaciones;186985
1/11/2023;Paises Nordicos;Ocio recreo y vacaciones;329907
1/11/2023;Portugal;Ocio recreo y vacaciones;118104
1/11/2023;Reino Unido;Ocio recreo y vacaciones;773047
1/11/2023;Resto America;Ocio recreo y vacaciones;256379
1/11/2023;Resto de Europa;Ocio recreo y vacaciones;436037
1/11/2023;Resto del Mundo;Ocio recreo y vacaciones;253356
1/11/2023;Rusia;Ocio recreo y vacaciones;0
1/11/2023;Suiza;Ocio recreo y vacaciones;86416
1/11/2023;Alemania;Otros motivos;62894
1/11/2023;Belgica;Otros motivos;18827
1/11/2023;Estados Unidos de America;Otros motivos;24372
1/11/2023;Francia;Otros motivos;64552
1/11/2023;Irlanda;Otros motivos;14641
1/11/2023;Italia;Otros motivos;30517
1/11/2023;Paises Bajos;Otros motivos;23168
1/11/2023;Paises Nordicos;Otros motivos;40877
1/11/2023;Portugal;Otros motivos;14634
1/11/2023;Reino Unido;Otros motivos;95785
1/11/2023;Resto America;Otros motivos;31767
1/11/2023;Resto de Europa;Otros motivos;54027
1/11/2023;Resto del Mundo;Otros motivos;31392
1/11/2023;Rusia;Otros motivos;0
1/11/2023;Suiza;Otros motivos;10707
1/12/2023;Alemania;Negocio motivos profesionales;30178
1/12/2023;Belgica;Negocio motivos profesionales;9148
1/12/2023;Estados Unidos de America;Negocio motivos profesionales;11775
1/12/2023;Francia;Negocio motivos profesionales;44027
1/12/2023;Irlanda;Negocio motivos profesionales;6695
