Periodo;PaisResidencia;MotivoViaje;Viajeros
1/11/2024;Italia;Ocio recreo y vacaciones;300808
1/11/2024;Paises Bajos;Ocio recreo y vacaciones;199254
1/11/2024;Paises Nordicos;Ocio recreo y vacaciones;327924
1/11/2024;Portugal;Ocio recreo y vacaciones;143501
1/11/2024;Reino Unido;Ocio recreo y vacaciones;816059
1/11/2024;Resto America;Ocio recreo y vacaciones;324703
1/11/2024;Resto de Europa;Ocio recreo y vacaciones;524764
1/11/2024;Resto del Mundo;Ocio recreo y vacaciones;294071
1/11/2024;Rusia;Ocio recreo y vacaciones;0
1/11/2024;Suiza;Ocio recreo y vacaciones;80975
1/11/2024;Alemania;Otros motivos;67224
1/11/2024;Belgica;Otros motivos;15273
1/11/2024;Estados Unidos de America;Otros motivos;27976
1/11/2024;Francia;Otros motivos;77601
1/11/2024;Irlanda;Otros motivos;15370
1/11/2024;Italia;Otros motivos;38130
1/11/2024;Paises Bajos;Otros motivos;25257
1/11/2024;Paises Nordicos;Otros motivos;41567
1/11/2024;Portugal;Otros motivos;18190
1/11/2024;Reino Unido;Otros motivos;103442
1/11/2024;Resto America;Otros motivos;41159
1/11/2024;Resto de Europa;Otros motivos;66518
1/11/2024;Resto del Mundo;Otros motivos;37276
1/11/2024;Rusia;Otros motivos;0
1/11/2024;Suiza;Otros motivos;10264
1/12/2024;Alemania;Negocio motivos profesionales;34050
1/12/2024;Belgica;Negocio motivos profesionales;9303
1/12/2024;Estados Unidos de America;Negocio motivos profesionales;11701
1/12/2024;Francia;Negocio motivos profesionales;42231
1/12/2024;Irlanda;Negocio motivos profesionales;7883
1/12/2024;Italia;Negocio motivos profesionales;20480
1/12/2024;Paises Bajos;Negocio motivos profesionales;12390
1/12/2024;Paises Nordicos;Negocio motivos profesionales;19414
1/12/2024;Portugal;Negocio motivos profesionales;12280
1/12/2024;Reino Unido;Negocio motivos profesionales;49064
1/12/2024;Resto America;Negocio motivos profesionales;16590
1/12/2024;Resto de Europa;Negocio motivos profesionales;27959
1/12/2024;Resto del Mundo;Negocio motivos profesionales;17805
1/12/2024;Rusia;Negocio motivos profesionales;0
1/12/2024;Suiza;Negocio motivos profesionales;5670
1/12/2024;Alemania;Ocio recreo y vacaciones;505154
1/12/2024;Belgica;Ocio recreo y vacaciones;138009
1/12/2024;Estados Unidos de America;Ocio recreo y vacaciones;173591
1/12/2024;Francia;Ocio recreo y vacaciones;626517
1/12/2024;Irlanda;Ocio recreo y vacaciones;116947
1/12/2024;Italia;Ocio recreo y vacaciones;303832
1/12/2024;Paises Bajos;Ocio recreo y vacaciones;183814
1/12/2024;Paises Nordicos;Ocio recreo y vacaciones;288024
1/12/2024;Portugal;Ocio recreo y vacaciones;182175
1/12/2024;Reino Unido;Ocio recreo y vacaciones;727892
1/12/2024;Resto America;Ocio recreo y vacaciones;246129
1/12/2024;Resto de Europa;Ocio recreo y vacaciones;414788
1/12/2024;Resto del Mundo;Ocio recreo y vacaciones;264144
1/12/2024;Rusia;Ocio recreo y vacaciones;0
1/12/2024;Suiza;Ocio recreo y vacaciones;84114
1/12/2024;Alemania;Otros motivos;85950
1/12/2024;Belgica;Otros motivos;23482
1/12/2024;Estados Unidos de America;Otros motivos;29536
1/12/2024;Francia;Otros motivos;106599
1/12/2024;Irlanda;Otros motivos;19898
1/12/2024;Italia;Otros motivos;51696
1/12/2024;Paises Bajos;Otros motivos;31275
1/12/2024;Paises Nordicos;Otros motivos;49006
1/12/2024;Portugal;Otros motivos;30996
1/12/2024;Reino Unido;Otros motivos;123848
1/12/2024;Resto America;Otros motivos;41878
1/12/2024;Resto de Europa;Otros motivos;70575
1/12/2024;Resto del Mundo;Otros motivos;44943
1/12/2024;Rusia;Otros motivos;0
1/12/2024;Suiza;Otros motivos;14312
